"gene","atlas","tissue","compartment","pct_cells_detected","n_cells","qualifying"
"MCL1","GSE125449","liver_biliary","fibroblast_stromal",0.480122324159021,981,TRUE
"MDC1","GSE125449","liver_biliary","fibroblast_stromal",0.0305810397553517,981,TRUE
"MMP1","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"MMP7","GSE125449","liver_biliary","fibroblast_stromal",0.00815494393476045,981,TRUE
"MUC1","GSE125449","liver_biliary","fibroblast_stromal",0.0163098878695209,981,TRUE
"NME1","GSE125449","liver_biliary","fibroblast_stromal",0.247706422018349,981,TRUE
"OAS1","GSE125449","liver_biliary","fibroblast_stromal",0.0397553516819572,981,TRUE
"OPRM1","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"PAX3","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"PHB","GSE125449","liver_biliary","fibroblast_stromal",0.319062181447503,981,TRUE
"POU2F1","GSE125449","liver_biliary","fibroblast_stromal",0.0570846075433231,981,TRUE
"PPARA","GSE125449","liver_biliary","fibroblast_stromal",0.0652395514780836,981,TRUE
"PRDM1","GSE125449","liver_biliary","fibroblast_stromal",0.0377166156982671,981,TRUE
"PROS1","GSE125449","liver_biliary","fibroblast_stromal",0.220183486238532,981,TRUE
"PSMB5","GSE125449","liver_biliary","fibroblast_stromal",0.446483180428135,981,TRUE
"PTGS2","GSE125449","liver_biliary","fibroblast_stromal",0.0682976554536188,981,TRUE
"PTPN6","GSE125449","liver_biliary","fibroblast_stromal",0.0112130479102956,981,TRUE
"ROR1","GSE125449","liver_biliary","fibroblast_stromal",0.0122324159021407,981,TRUE
"S100A11","GSE125449","liver_biliary","fibroblast_stromal",0.760448521916412,981,TRUE
"S1PR1","GSE125449","liver_biliary","fibroblast_stromal",0.0091743119266055,981,TRUE
"SALL4","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"SHH","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"STK11","GSE125449","liver_biliary","fibroblast_stromal",0.0835881753312946,981,TRUE
"TIMP1","GSE125449","liver_biliary","fibroblast_stromal",0.943934760448522,981,TRUE
"TNFRSF10B","GSE125449","liver_biliary","fibroblast_stromal",0.035677879714577,981,TRUE
"TP53","GSE125449","liver_biliary","fibroblast_stromal",0.108053007135576,981,TRUE
"TP63","GSE125449","liver_biliary","fibroblast_stromal",0.00203873598369011,981,TRUE
"VDR","GSE125449","liver_biliary","fibroblast_stromal",0.0203873598369011,981,TRUE
"VEGFA","GSE125449","liver_biliary","fibroblast_stromal",0.0560652395514781,981,TRUE
"VEGFB","GSE125449","liver_biliary","fibroblast_stromal",0.0764525993883792,981,TRUE
"ZFP36","GSE125449","liver_biliary","fibroblast_stromal",0.617737003058104,981,TRUE
"A2M","GSE125449","liver_biliary","fibroblast_stromal",0.609582059123344,981,TRUE
"HMOX1","GSE125449","liver_biliary","fibroblast_stromal",0.0214067278287462,981,TRUE
"IFNAR1","GSE125449","liver_biliary","fibroblast_stromal",0.170234454638124,981,TRUE
"IRF1","GSE125449","liver_biliary","fibroblast_stromal",0.333333333333333,981,TRUE
"MYD88","GSE125449","liver_biliary","fibroblast_stromal",0.036697247706422,981,TRUE
"PIM1","GSE125449","liver_biliary","fibroblast_stromal",0.107033639143731,981,TRUE
"STAT1","GSE125449","liver_biliary","fibroblast_stromal",0.180428134556575,981,TRUE
"TYK2","GSE125449","liver_biliary","fibroblast_stromal",0.0336391437308868,981,TRUE
"BCL2","GSE125449","liver_biliary","fibroblast_stromal",0.0642201834862385,981,FALSE
"MMP9","GSE125449","liver_biliary","fibroblast_stromal",0.00815494393476045,981,FALSE
"HGF","GSE125449","liver_biliary","fibroblast_stromal",0.217125382262997,981,FALSE
"MYC","GSE125449","liver_biliary","myeloid",0.0611702127659574,752,TRUE
