"gene","atlas","tissue","f_at_0.30","f_at_0.50","f_at_0.70","ci_lo_0.30","ci_hi_0.30","evaluable","dominant","dominant_50","dom_rate","dom_rate_lo","dom_rate_hi","dom_n_eval","dom50_rate","origin_six","in_panel","qualifying"
"TNFRSF1A","GSE125449","liver_biliary",0.33460471993382,0.539881718309242,0.732464840481338,0.195460206585066,0.598047369696525,TRUE,FALSE,TRUE,0.099,0,1,2000,0.661,FALSE,TRUE,TRUE
"TNFRSF1B","GSE125449","liver_biliary",0.0602017170382485,0.13003305547421,0.258578749587136,0.0348143318417803,0.102799491949497,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"TNFRSF21","GSE125449","liver_biliary",0.652546756356034,0.814202320491607,0.910914171520025,0.382399126865805,0.837758231777203,TRUE,TRUE,TRUE,0.8635,0,1,2000,0.9975,FALSE,TRUE,TRUE
"ABCA1","GSE125449","liver_biliary",0.445125020232386,0.65178853443735,0.813696151198147,0.296610356958025,0.604568644505477,TRUE,FALSE,TRUE,0.2395,0,1,2000,0.9735,FALSE,TRUE,TRUE
"AKAP12","GSE125449","liver_biliary",0.328604290255801,0.533149657518303,0.727126329489529,0.124592259097025,0.755436267276174,TRUE,FALSE,TRUE,0.206,0,1,2000,0.5865,FALSE,TRUE,TRUE
"BCL2L1","GSE125449","liver_biliary",0.619239249287468,0.791438520928314,0.898522641558509,0.434051936208556,0.785737885464024,TRUE,TRUE,TRUE,0.887,0,1,2000,1,FALSE,TRUE,TRUE
"BCL6","GSE125449","liver_biliary",0.245999660564073,0.432228466567267,0.639808495467047,0.160547544549823,0.407892980740237,TRUE,FALSE,FALSE,0.002,0,0,2000,0.2555,FALSE,TRUE,TRUE
"CCND1","GSE125449","liver_biliary",0.443289230002736,0.650099014555767,0.812566299700997,0.236074775050741,0.78912412549007,TRUE,FALSE,TRUE,0.401,0,1,2000,0.877,FALSE,TRUE,TRUE
"CCND3","GSE125449","liver_biliary",0.212103903521451,0.385802229680136,0.59442910420274,0.114316820653327,0.362631117023891,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.112,FALSE,TRUE,TRUE
"CDK4","GSE125449","liver_biliary",0.60613937519376,0.782179122582828,0.893376919411687,0.362293475458211,0.774414204778908,TRUE,TRUE,TRUE,0.765,0,1,2000,0.9965,FALSE,TRUE,TRUE
"CDKN1A","GSE125449","liver_biliary",0.209649620285857,0.382313323263716,0.59086853608953,0.118487765526334,0.444084991624091,TRUE,FALSE,FALSE,0.007,0,0,2000,0.1945,FALSE,TRUE,TRUE
"CDKN1B","GSE125449","liver_biliary",0.199301403805121,0.367404340982688,0.575402809115868,0.139879322371895,0.28298748825976,TRUE,FALSE,FALSE,0,0,0,2000,0.0105,FALSE,TRUE,TRUE
"CFLAR","GSE125449","liver_biliary",0.361453127381143,0.569113494158253,0.755013589950782,0.209370967750851,0.527853896115163,TRUE,FALSE,TRUE,0.0545,0,1,2000,0.749,FALSE,TRUE,TRUE
"CISH","GSE125449","liver_biliary",0.303975911189979,0.504715372462225,0.703946027277581,0.138026489715723,0.470244691507517,TRUE,FALSE,TRUE,0.014,0,0,2000,0.465,FALSE,TRUE,TRUE
"COPS5","GSE125449","liver_biliary",0.50981108337899,0.70817712884404,0.849903589188458,0.391462647880134,0.64411555870891,TRUE,TRUE,TRUE,0.5735,0,1,2000,0.9995,FALSE,TRUE,TRUE
"CXCL8","GSE125449","liver_biliary",0.58735496052085,0.768585163441701,0.885708663829319,0.278027634111673,0.808372086018842,TRUE,TRUE,TRUE,0.71,0,1,2000,0.9645,FALSE,TRUE,TRUE
"DDIT3","GSE125449","liver_biliary",0.58341206175371,0.765683120284818,0.884053825344863,0.345753739133946,0.765488476441091,TRUE,TRUE,TRUE,0.726,0,1,2000,0.9915,FALSE,TRUE,TRUE
"DNMT1","GSE125449","liver_biliary",0.288638197069726,0.486326081880186,0.688386871201512,0.148926974693266,0.416117511033217,TRUE,FALSE,FALSE,0.001,0,0,2000,0.4295,FALSE,TRUE,TRUE
"EPAS1","GSE125449","liver_biliary",0.0867569065961683,0.181444079333506,0.340897694106169,0.0447541125361488,0.356864140997301,TRUE,FALSE,FALSE,0.0055,0,0,2000,0.0465,FALSE,TRUE,TRUE
"ESR2","GSE125449","liver_biliary",0.173341168283365,0.328531917470828,0.533068003144654,0.079230726437161,0.389039738085826,TRUE,FALSE,FALSE,0.004,0,0,2000,0.1075,FALSE,TRUE,TRUE
"ETV6","GSE125449","liver_biliary",0.303709653057288,0.504400705932754,0.703683624544803,0.1983188193436,0.436077855939901,TRUE,FALSE,TRUE,0.002,0,0,2000,0.494,FALSE,TRUE,TRUE
"FGG","GSE125449","liver_biliary",0.952342253414922,0.979003452527183,0.990892204071891,0.784103419527078,0.995186458644183,TRUE,TRUE,TRUE,0.9995,1,1,2000,1,FALSE,TRUE,TRUE
