"draw","pooled_M1_logHR"
1044,0.112523410284566
1045,0.102827354986058
1046,0.110421775584701
1047,0.128728835368799
1048,0.117011014353702
1049,0.130999940935655
1050,0.0989831963173405
1051,0.124601997018005
1052,0.114017217799694
1053,0.106897344808497
1054,0.109895527303827
1055,0.124195774936544
1056,0.131325087425833
1057,0.133179320659729
1058,0.108214430158908
1059,0.114180260838756
1060,0.107544029138821
1061,0.11731193037481
1062,0.120890499370674
1063,0.137240610525115
1064,0.11252350925117
1065,0.106235394295546
1066,0.131502447318539
1067,0.105421989798308
1068,0.126632001601637
1069,0.100118314105302
1070,0.116880361807973
1071,0.115758571134669
1072,0.108657085790859
1073,0.151942391653109
1074,0.148114141516946
1075,0.107657952682983
1076,0.117133373178127
1077,0.120266358494061
1078,0.104152511431732
1079,0.120627376204406
1080,0.124917010566426
1081,0.123347213335046
1082,0.127724467349385
1083,0.107651580176112
1084,0.129447015076039
1085,0.104006139153172
1086,0.120024773393518
1087,0.127396302094093
1088,0.107704549688238
1089,0.134062670764404
1090,0.10401313142469
1091,0.129239838583931
1092,0.141937322163852
1093,0.115235803333626
1094,0.102652900835905
1095,0.105101594268644
1096,0.13407586442456
1097,0.115455004253961
1098,0.0985354640232873
1099,0.0899362516454645
1100,0.113634965754334
1101,0.119006370630918
1102,0.125704169718343
1103,0.121615028826829
1104,0.118547165792082
1105,0.0893133448790593
1106,0.108441941532903
1107,0.084902636482233
1108,0.104435052101137
1109,0.108095207793322
1110,0.117290264240086
1111,0.110210845538159
1112,0.106416128379587
1113,0.117880482535959
1114,0.126942235109904
1115,0.142082334280751
1116,0.114905614361677
1117,0.108830196890449
1118,0.113682401262166
1119,0.0879509634082517
1120,0.102678801327189
1121,0.123836096501137
1122,0.128079599493072
1123,0.134099774661312
1124,0.112211497725966
1125,0.104515057430653
1126,0.120137632887904
1127,0.140296419150159
1128,0.123933508887722
1129,0.122782804828592
1130,0.106313963251787
1131,0.106208320504778
1132,0.138106923945446
1133,0.15532138294624
1134,0.137642154383766
1135,0.12873558389973
1136,0.0965913511800806
1137,0.123439223539217
1138,0.101885317017079
1139,0.122070716047055
1140,0.125372158679651
1141,0.13067521669568
1142,0.127602848450121
1143,0.128465310012484
1144,0.104868623939687
1145,0.111755872377847
1146,0.146132525419903
1147,0.122252710419494
1148,0.113806565485184
1149,0.12262897482294
1150,0.113589740527413
1151,0.0975414074850138
1152,0.130091085361362
1153,0.120424593395459
1154,0.102203201570358
1155,0.109271445646363
1156,0.103024820268971
1157,0.104891633142088
1158,0.131724570796024
1159,0.132237296043296
1160,0.126690731706227
1161,0.129425991920648
1162,0.111709506777272
1163,0.130956066030945
1164,0.0958710156086712
1165,0.161616259471904
1166,0.122226988800142
1167,0.0897481439462572
1168,0.11386988438265
1169,0.0757751191960433
1170,0.106058565210799
1171,0.0988022682574976
1172,0.11653568781054
1173,0.112748694840132
1174,0.113565803148965
1175,0.11520956548115
1176,0.0975748037520889
1177,0.129067760965607
1178,0.121439133441228
1179,0.114800794649233
1180,0.122776680685473
1181,0.116368053595882
1182,0.102778786855864
1183,0.123791705262292
1184,0.128991889552533
1185,0.0962003913702895
1186,0.116657386735072
1187,0.11612692535288
1188,0.133565401569121
1189,0.110923453978147
1190,0.12869900514892
1191,0.127712897046317
1192,0.107970788637442
1193,0.107114714661933
1194,0.111198623519883
1195,0.146975595577247
1196,0.0988479325328803
1197,0.119389533693255
1198,0.0837078009323787
1199,0.123256718903479
1200,0.093094475715465
1201,0.0874140244670361
1202,0.0886644496879103
1203,0.120292800646379
1204,0.101109799635599
1205,0.102998890392073
1206,0.122935430948903
1207,0.129458919906134
1208,0.100463310437653
1209,0.127378889142772
1210,0.122017281176377
1211,0.121087051074143
1212,0.146849803366798
