gene,origin_score,via_A_hallmark,criterion_B_human,route_human,n_independent_human,n_independent_incl_mouse,ENCODE_ChIP-seq,ReMap_ChIP-seq,Literature_ChIP-seq_human,Literature_ChIP-seq_mouse,TRRUST_v2_curated
CATSPERG,False,False,True,B_only,2,2,True,True,False,False,False
CAV1,False,False,True,B_only,2,2,True,False,True,False,False
CBLC,False,False,True,B_only,2,2,True,True,False,False,False
CBX8,False,False,True,B_only,2,2,True,True,False,False,False
CCDC102B,False,False,True,B_only,2,2,True,False,True,False,False
CCDC103,False,False,True,B_only,2,2,True,True,False,False,False
CCDC12,False,False,True,B_only,2,2,True,False,True,False,False
CCDC14,False,False,True,B_only,2,2,True,False,True,False,False
CCDC191,False,False,True,B_only,2,2,True,False,True,False,False
CCDC57,False,False,True,B_only,2,2,False,True,True,False,False
CCDC85B,False,False,True,B_only,2,2,True,True,False,False,False
CCM2,False,False,True,B_only,2,2,False,True,True,False,False
CCND1,False,False,True,B_only,2,2,True,False,False,False,True
CCND3,False,False,True,B_only,2,2,True,False,False,False,True
CCNL1,False,False,True,B_only,3,4,True,True,True,True,False
CCP110,False,False,True,B_only,2,2,True,False,True,False,False
CCT5,False,False,True,B_only,2,2,True,False,True,False,False
CCT6B,False,False,True,B_only,2,2,True,False,True,False,False
CCT6P1,False,False,True,B_only,2,2,True,False,True,False,False
CD109,False,False,True,B_only,2,2,True,False,True,False,False
CD248,False,False,True,B_only,2,2,True,True,False,False,False
CD274,False,False,True,B_only,3,3,True,True,True,False,False
CD37,False,False,True,B_only,2,2,True,True,False,False,False
CD3EAP,False,False,True,B_only,2,2,True,True,False,False,False
CD55,False,False,True,B_only,2,2,True,True,False,False,False
CD68,False,False,True,B_only,2,2,True,True,False,False,False
CD7,False,False,True,B_only,2,2,False,True,True,False,False
CD70,False,False,True,B_only,2,2,True,True,False,False,False
CD79A,False,False,True,B_only,2,2,True,True,False,False,False
CDC37,False,False,True,B_only,2,2,True,True,False,False,False
CDC42BPG,False,False,True,B_only,2,3,True,True,False,True,False
CDC5L,False,False,True,B_only,2,2,True,False,True,False,False
CDCA7,False,False,True,B_only,2,3,True,False,True,True,False
CDHR2,False,False,True,B_only,2,2,False,True,True,False,False
CDK16,False,False,True,B_only,2,2,True,True,False,False,False
CDK20,False,False,True,B_only,2,2,True,False,True,False,False
CDK4,False,False,True,B_only,3,3,True,True,False,False,True
CDK5RAP2,False,False,True,B_only,2,2,True,False,True,False,False
CDK7,False,False,True,B_only,2,3,True,False,True,True,False
CDKN1A,False,False,True,B_only,2,3,False,True,False,True,True
CDKN1B,False,False,True,B_only,2,2,False,True,False,False,True
CDKN2C,False,False,True,B_only,2,3,True,False,True,True,False
CEACAM1,False,False,True,B_only,2,2,True,False,True,False,False
CEBPZ,False,False,True,B_only,2,2,True,False,True,False,False
CENPH,False,False,True,B_only,2,2,True,False,True,False,False
CENPK,False,False,True,B_only,2,2,True,False,True,False,False
CEP152,False,False,True,B_only,2,2,True,False,True,False,False
CEP350,False,False,True,B_only,2,2,True,False,True,False,False
CEP89,False,False,True,B_only,2,2,True,False,True,False,False
CETN3,False,False,True,B_only,2,2,True,False,True,False,False
CFAP58,False,False,True,B_only,3,3,True,True,True,False,False
CFDP1,False,False,True,B_only,2,2,True,False,True,False,False
CFL1,False,False,True,B_only,2,2,True,True,False,False,False
CFLAR,False,False,True,B_only,3,3,True,True,False,False,True
CHCHD3,False,False,True,B_only,2,2,True,False,True,False,False
CHD2,False,False,True,B_only,3,4,True,True,True,True,False
CHD4,False,False,True,B_only,2,2,True,False,True,False,False
CHD6,False,False,True,B_only,2,3,True,False,True,True,False
CHN2,False,False,True,B_only,2,3,True,False,True,True,False
CIITA,False,False,True,B_only,2,2,True,False,True,False,False
CIRBP,False,False,True,B_only,2,2,True,True,False,False,False
CISH,False,False,True,B_only,2,2,True,False,False,False,True
CITED2,False,False,True,B_only,2,3,True,True,False,True,False
CITED4,False,False,True,B_only,2,2,True,True,False,False,False
CKS1B,False,False,True,B_only,2,2,True,True,False,False,False
CLCF1,False,False,True,B_only,2,2,True,True,False,False,False
CLDND1,False,False,True,B_only,2,2,True,False,True,False,False
CLEC16A,False,False,True,B_only,2,2,True,False,True,False,False
CLIP1,False,False,True,B_only,2,2,True,True,False,False,False
CLNS1A,False,False,True,B_only,2,2,True,False,True,False,False
CLSTN1,False,False,True,B_only,2,2,True,False,True,False,False
CLTC,False,False,True,B_only,2,3,True,False,True,True,False
CLU,False,False,True,B_only,2,2,True,False,True,False,False
CNBP,False,False,True,B_only,2,2,True,False,True,False,False
CNGB3,False,False,True,B_only,2,2,True,False,True,False,False
CNTNAP1,False,False,True,B_only,2,2,True,True,False,False,False
COG3,False,False,True,B_only,2,2,True,False,True,False,False
COG6,False,False,True,B_only,2,2,True,False,True,False,False
COL13A1,False,False,True,B_only,2,3,True,False,True,True,False
COL4A3BP,False,False,True,B_only,2,2,True,False,True,False,False
COPS2,False,False,True,B_only,2,2,True,False,True,False,False
COPS5,False,False,True,B_only,2,2,True,False,False,False,True
COPZ2,False,False,True,B_only,2,2,False,True,True,False,False
COQ8B,False,False,True,B_only,2,2,True,True,False,False,False
CPEB3,False,False,True,B_only,2,2,True,False,True,False,False
CPNE1,False,False,True,B_only,2,2,True,False,True,False,False
CPNE8,False,False,True,B_only,2,3,True,False,True,True,False
CPPED1,False,False,True,B_only,2,2,True,False,True,False,False
CPSF1,False,False,True,B_only,2,2,True,True,False,False,False
CREB3L2,False,False,True,B_only,2,3,True,False,True,True,False
CREB3L4,False,False,True,B_only,2,2,True,True,False,False,False
CREBL2,False,False,True,B_only,2,2,True,False,True,False,False
CRTC2,False,False,True,B_only,2,2,True,True,False,False,False
CRYBG1,False,False,True,B_only,2,3,True,False,True,True,False
CRYM,False,False,True,B_only,2,2,True,False,True,False,False
CSGALNACT1,False,False,True,B_only,2,2,True,False,True,False,False
CSNK1E,False,False,True,B_only,2,3,True,True,False,True,False
CSNK2A1,False,False,True,B_only,2,3,True,False,True,True,False
CTDNEP1,False,False,True,B_only,2,2,True,True,False,False,False
CTDSPL2,False,False,True,B_only,2,2,True,False,True,False,False
CTNNA1,False,False,True,B_only,2,3,True,False,True,True,False
CTNNAL1,False,False,True,B_only,2,3,True,False,True,True,False
CTNNBL1,False,False,True,B_only,2,2,True,False,True,False,False
CTR9,False,False,True,B_only,2,2,True,False,True,False,False
CTSO,False,False,True,B_only,2,2,True,False,True,False,False
CTSS,False,False,True,B_only,2,3,True,False,True,True,False
CTSZ,False,False,True,B_only,2,3,False,True,True,True,False
CUEDC2,False,False,True,B_only,2,3,True,True,False,True,False
CUL2,False,False,True,B_only,2,2,True,False,True,False,False
CUX1,False,False,True,B_only,2,3,True,False,True,True,False
CXCL2,False,False,True,B_only,3,3,True,True,True,False,False
CXCL8,False,False,True,B_only,2,2,True,False,False,False,True
CXCR5,False,False,True,B_only,2,3,True,True,False,True,False
CYB5B,False,False,True,B_only,2,3,True,False,True,True,False
CYB5D1,False,False,True,B_only,2,2,True,True,False,False,False
CYBRD1,False,False,True,B_only,2,2,True,False,True,False,False
CYC1,False,False,True,B_only,2,2,True,True,False,False,False
CYP27B1,False,False,True,B_only,2,2,True,True,False,False,False
CYTH2,False,False,True,B_only,2,2,True,True,False,False,False
DAAM1,False,False,True,B_only,2,3,True,False,True,True,False
DAPK3,False,False,True,B_only,2,2,True,True,False,False,False
DBP,False,False,True,B_only,2,2,True,True,False,False,False
DCAF16,False,False,True,B_only,2,2,True,False,True,False,False
DCAF17,False,False,True,B_only,2,2,True,False,True,False,False
DCAF5,False,False,True,B_only,2,2,True,False,True,False,False
DCAF7,False,False,True,B_only,2,2,True,False,True,False,False
DCDC1,False,False,True,B_only,2,2,True,False,True,False,False
DCUN1D3,False,False,True,B_only,2,2,True,True,False,False,False
DDA1,False,False,True,B_only,2,2,True,True,False,False,False
DDB2,False,False,True,B_only,2,2,True,False,True,False,False
DDIT3,False,False,True,B_only,2,3,True,False,False,True,True
DDIT4,False,False,True,B_only,3,4,True,True,True,True,False
DDR2,False,False,True,B_only,2,2,True,False,True,False,False
DDX59,False,False,True,B_only,2,3,True,False,True,True,False
DDX60L,False,False,True,B_only,2,2,True,False,True,False,False
DENND1A,False,False,True,B_only,2,3,True,False,True,True,False
DENND4B,False,False,True,B_only,2,3,True,True,False,True,False
DENR,False,False,True,B_only,2,2,True,False,True,False,False
DERA,False,False,True,B_only,2,2,True,False,True,False,False
DHRS1,False,False,True,B_only,2,2,True,True,False,False,False
DHRS7,False,False,True,B_only,2,3,True,False,True,True,False
DHX34,False,False,True,B_only,2,2,True,False,True,False,False
DIAPH1,False,False,True,B_only,2,2,True,False,True,False,False
DLG2,False,False,True,B_only,2,3,True,False,True,True,False
DLGAP1-AS1,False,False,True,B_only,2,2,True,True,False,False,False
DMAC2,False,False,True,B_only,2,2,True,False,True,False,False
DMTF1,False,False,True,B_only,2,2,True,False,True,False,False
DMWD,False,False,True,B_only,2,2,True,True,False,False,False
DNAH7,False,False,True,B_only,2,2,True,False,True,False,False
DNAJB1,False,False,True,B_only,2,2,True,True,False,False,False
DNAJB2,False,False,True,B_only,2,2,True,True,False,False,False
DNAJC16,False,False,True,B_only,2,2,True,False,True,False,False
DNASE1L3,False,False,True,B_only,2,2,True,False,True,False,False
DNMT1,False,False,True,B_only,2,2,False,True,False,False,True
DOCK4,False,False,True,B_only,2,3,True,False,True,True,False
DOCK5,False,False,True,B_only,2,3,True,False,True,True,False
DOCK7,False,False,True,B_only,2,2,True,False,True,False,False
DPH1,False,False,True,B_only,2,2,True,True,False,False,False
DPH3,False,False,True,B_only,2,2,True,False,True,False,False
DPM3,False,False,True,B_only,2,2,True,True,False,False,False
DPP9,False,False,True,B_only,3,3,True,True,True,False,False
DRAM2,False,False,True,B_only,2,3,True,False,True,True,False
DRAP1,False,False,True,B_only,2,2,True,True,False,False,False
DRC3,False,False,True,B_only,2,2,True,False,True,False,False
DRG2,False,False,True,B_only,2,3,True,False,True,True,False
DST,False,False,True,B_only,2,3,True,False,True,True,False
DTWD2,False,False,True,B_only,2,3,True,False,True,True,False
DTX1,False,False,True,B_only,2,2,False,True,True,False,False
DUSP1,False,False,True,B_only,2,2,True,True,False,False,False
DUSP10,False,False,True,B_only,2,3,True,False,True,True,False
DUSP14,False,False,True,B_only,2,2,True,False,True,False,False
DUSP19,False,False,True,B_only,2,2,True,False,True,False,False
DUSP6,False,False,True,B_only,2,3,True,True,False,True,False
DVL2,False,False,True,B_only,2,2,True,True,False,False,False
DYM,False,False,True,B_only,2,3,True,False,True,True,False
E2F3,False,False,True,B_only,2,2,True,False,True,False,False
E2F4,False,False,True,B_only,2,2,True,True,False,False,False
EED,False,False,True,B_only,2,3,True,False,True,True,False
EEF1AKMT3,False,False,True,B_only,2,2,True,True,False,False,False
EEF1G,False,False,True,B_only,3,4,True,True,True,True,False
EEF2,False,False,True,B_only,2,2,True,True,False,False,False
EFNA1,False,False,True,B_only,2,3,True,True,False,True,False
EFNA5,False,False,True,B_only,2,3,True,False,True,True,False
EFTUD2,False,False,True,B_only,2,2,True,True,False,False,False
EHD1,False,False,True,B_only,2,3,True,True,False,True,False
EHHADH,False,False,True,B_only,2,2,True,False,True,False,False
EIF1,False,False,True,B_only,3,4,True,True,True,True,False
EIF2B3,False,False,True,B_only,2,3,True,False,True,True,False
EIF2B4,False,False,True,B_only,2,2,True,True,False,False,False
EIF4A1,False,False,True,B_only,2,2,True,True,False,False,False
EIF4G3,False,False,True,B_only,2,2,True,False,True,False,False
EIF5A2,False,False,True,B_only,2,2,True,False,True,False,False
ELF1,False,False,True,B_only,2,2,True,False,True,False,False
ELL2,False,False,True,B_only,2,2,True,False,True,False,False
ELOVL5,False,False,True,B_only,2,3,True,False,True,True,False
EMG1,False,False,True,B_only,2,2,True,True,False,False,False
EML2,False,False,True,B_only,2,2,False,True,True,False,False
EML3,False,False,True,B_only,2,2,True,True,False,False,False
EMP1,False,False,True,B_only,2,3,True,False,True,True,False
ENO1,False,False,True,B_only,2,2,True,True,False,False,False
ENO1-AS1,False,False,True,B_only,2,2,True,True,False,False,False
